"['grid service discovery', 'service discovery grids', 'discovery grid services', 'grid discovery services', 'discovery grid service', 'scalable grid service', 'services grids', 'specialized grid service', 'grid services', 'grid service providers']"
"['deployment sensor networks', 'sensors observed deployment', 'sensor deployment strategy', 'detection sensor network', 'infrastructures deployment sensor', 'sensor network deployed', 'sensor deployment', 'sensor networks performing', 'deployment strategies sensor', 'detection sensor networks']"
"['voip audio conferencing', 'distributed voip conferencing', 'voice virtual conferencing', 'building voip conferencing', 'distributed voip', 'voip conferencing', 'building voip application', 'voip conferencing challenges', 'voip conferencing propose', 'audio conferencing need']"
"['swarm worm details', 'host swarm worm', 'swarm worm described', 'behaviors swarm worm', 'performance swarm worm', 'worm swarm worm', 'swarm worm', 'worm swarms', 'swarm worm including', 'cracking swarm worm']"
"['modular protocols based', 'building modular protocols', 'modular protocols', 'modular network protocols', 'protocols protocol modules', 'expressing modular protocols', 'protocol modules frameworks', 'protocol frameworks protocols', 'protocol composition frameworks', 'implemented protocol frameworks']"
"['availability data center', 'outages data centers', 'data availability', 'outages data center', 'service availability', 'providing service availability', 'high availability services', 'availability services', 'achieve high availability', 'continuous availability']"
"['metrics mobile object', 'runtimes mobile objects', 'distributed mobile applications', 'mobile application adaptation', 'mobile object frameworks', 'metrics collection middleware', 'adaptation mobile applications', 'objects providing middleware', 'middleware components metrics', 'metrics mobile']"
"['servers allocation strategies', 'distributed computational storage', 'servers allocation scheme', 'adjusted faster servers', 'parallel downloading datasets', 'data transport replica', 'parallel downloading', 'parallel data transfers', 'distributed storage resources', 'servers allocation']"
"['localizing sensor network', 'localization sensor network', 'localization wireless sensor', 'localization wireless', 'sensor nodes localization', 'localize sensor nodes', 'network localization', 'distributed network localization', 'cost accurate localization', 'localizing sensor']"
"['throughput blast grid', 'sequence comparison blast', 'blast searches grids', 'grid implementation blast', 'blast searches grid', 'task allocation grids', 'nodes blast search', 'blast searches sequence', 'biological sequence comparison', 'parallelization blast']"
"['molecular conformational search', 'molecular conformation search', 'conformational search program', 'conformation search improvement', 'conflex computational', 'searching molecular conformers', 'molecular mechanics grid', 'performance conflex grid', 'conformationalspacesearch basic strategy', 'conflex searched conformers']"
"['adaptive computing grid', 'adaptive applications grid', 'adaptive execution grids', 'grid computing resource', 'utilize grid resources', 'applications grid resources', 'available grid resources', 'grid application applications', 'performance availability grid', 'grid scheduling']"
"['scalable reliable multicast', 'multicast data dissemination', 'multicast scalable', 'approach streaming multicast', 'peer streaming nodes', 'multicast efficient', 'reliable multicasting overlay', 'stream dissemination', 'multicast tree', 'tree internet streaming']"
