"['entropy ramsey graphs', 'ramsey graphs entropy', 'polynomial entropy ramsey', 'ramsey bipartite graphs', 'bipartite ramsey graphs', 'entropy ramsey', 'ramsey graphs frankl', 'extractors entropy', '2n ramsey graphs', 'ramsey graphs']"
"['probabilistic retrieval model', 'probabilistic retrieval models', 'information retrieval models', 'probabilistic retrieval', 'retrieval models', 'probabilities probabilistic retrieval', 'retrieval retrieval models', 'retrieval model', 'combination probabilistic retrieval', 'problem probabilistic retrieval']"
"['crawling systems', 'high performance crawling', 'performance crawling', 'high performance crawlers', 'performance crawlers', 'distributed web crawling', 'scalable crawling', 'crawler general approach', 'general crawling strategies', 'web crawling']"
"['mobile access network', 'hiperlan access network', 'public wireless access', 'cellular access', 'mobile access', 'hiperlan 3g access', 'hiperlan mobile access', 'hiperlan interworking 3g', 'cellular access hiperlan', 'hiperlan access networks']"
"['graphics schematic depictions', 'schematic depictions using', 'visualization shadow', 'schematic depictions', '2d information displays', 'visual information', 'visualization interaction', 'spatial description presentation', '2d visualization shadow', 'graphic 2d information']"
"['targeted advertising keywords', 'match ads keywords', 'advertising search', 'advertising keywords', 'associating ads web', 'matching ads web', 'ads keywords', 'targeted advertising ads', 'matching ads terms', 'strategies keyword advertising']"
"['information technology curriculum', 'information technology education', 'information science education', 'technology model curriculum', 'information technology model', 'technology curriculum', 'information computer science', 'information systems computer', 'basic information technology', 'technology education']"
"['modeling personalized search', 'personalized search agent', 'model personalized search', 'modeling information retrieval', 'personalized web search', 'personalized search studied', 'specific retrieval models', 'information retrieval model', 'retrieval models relevance', 'retrieval implicit user']"
"['nearest neighbor search', 'nearest neighbour search', 'searches nearest', 'closest objects query', 'algorithms nearest neighbor', 'distance computations search', 'search tree distance', 'distance search', 'searches distance', 'nearest neighbour object']"
"['embedded interpreters', 'embedded interpreters macros', 'embedded interpreters regard', 'generation debuggers interpreters', 'debuggers interpreters', 'interpreters embedded', 'interpreters macros', 'evaluate interpreters', 'embedded interpreters regexp', 'evaluation embedded interpreters']"
"['mining sequential patterns', 'sequential pattern mining', 'algorithms incremental mining', 'example incremental mining', 'sequential mining algorithms', 'sequential mining', 'incremental mining', 'incremental frequent pattern', 'sequence mining', 'issues incremental mining']"
"['rdf api implementations', 'rdf infrastructure', 'semantic web distributed', 'rdf repositories', 'rdf infrastructures', 'rdf repositories abstract', 'rdf storage retrieval', 'sources rdf infrastructure', 'rdf querying', 'distributed rdf querying']"
"['evaluators abstract machines', 'evaluator abstract machine', 'evaluators interpreters', 'abstract machine evaluator', 'monadic evaluator', 'monadic evaluator yields', 'function abstract machine', 'abstract machine terms', 'passing evaluators interpreters', 'function abstractions']"
"['similarity trajectories', 'detection similar trajectories', 'time warping trajectories', 'similarities trajectory datasets', 'expensive similarity measures', 'providing similarity measures', 'discovery closest trajectories', 'index multidimensional trajectories', 'lcss similarity trajectories', 'similar trajectories']"
"['retrieval language tutoring', 'retrieval language', 'detailed retrieval models', 'information retrieval language', 'retrieval retrieval models', 'reap information retrieval', 'retrieval models', 'detailed retrieval', 'based retrieval extensibility', 'retrieval retrieval']"
"['queries local pages', 'global pages queries', 'pages geographical locality', 'queries global pages', 'geographical locality queries', 'pages global queries', 'discussing query categorization', 'global local queries', 'pages geographical scope', 'query local pages']"
"['online privacy', 'site privacy', 'online privacy problems', 'risk social networking', 'usage site privacy', 'users attitudes privacy', 'privacy implications privacy', 'personal privacy', 'identifiable facebook', 'privacy attitudes college']"
"['hyperlinks enhanced topic', 'hyperlink induced topic', 'web hyperlink analysis', 'topic model web', 'model hyperlinks enhanced', 'hyperlink analysis', 'hyperlinks enhanced', 'aware hyperlink based', 'generalizing hyperlinks', 'hyperlink based']"
"['information assurance education', 'information assurance training', 'information assurance it2005', 'education information assurance', 'technology information assurance', 'study information assurance', 'information assurance security', 'information technology curriculum', 'advancing information assurance', 'information assurance']"
"['perceptual user interfaces', 'interactive use crayons', 'interactive classification', 'interactive machine learning', 'classify interactive', 'new perceptual interface', 'perceptual interface classification', 'classify interactive use', 'perceptual interface', 'user interfaces']"
"['frequent itemsets based', 'frequent itemsets database', 'frequent itemsets finding', 'frequent itemsets data', 'frequent itemsets association', 'frequent itemsets given', 'frequent itemsets', 'frequent attribute sets', 'association rules database', 'collection frequent itemsets']"
"['interference evaluation bluetooth', 'wlan bluetooth performance', 'bluetooth wlan performance', 'interference bluetooth devices', 'interference bluetooth', 'bluetooth interference', 'wlan bluetooth devices', 'wlan bluetooth', 'interference performance bluetooth', 'interference wlan bluetooth']"
"['information displays', 'presenting information displays', 'conventional information displays', 'display peripheral awareness', 'displays infocanvas', 'awareness displays systems', 'communicate information glance', 'displays informative', 'peripheral awareness displays', 'infocanvas displays']"
"['constraints 3d graphics', 'graphics geometric constraints', '3d geometric constraints', 'geometric constraint library', '3d geometric layout', 'constraints user interface', 'coordinates geometric constraints', 'geometric constraints constructing', 'constraints geometric constraints', 'geometric constraint solvers']"
"['centric storage kddcs', 'storage kddcs scheme', 'balanced network data', 'contention storage sensors', 'sensors distributed', 'queries sensor networks', 'distributed sensors', 'sensor network queries', 'efficient distributed', 'sensor networks query']"
"['language topic tracking', 'tracking topics', 'detection topic tracking', 'topic tracking', 'tracking native topic', 'modeling topic tracking', 'topic model tracking', 'tracking topic model', 'topic topic tracking', 'topic detection tracking']"
"['lazy preservation website', 'web archives', 'repositories lazy preservation', 'lazy preservation downloading', 'website preservation', 'website preservation perspective', 'web archives search', 'archiving individual websites', 'reconstructing websites', 'web repositories reconstruct']"
"['imbalance svms', 'support vector machines', 'clusters svms', 'support cluster machines', 'data training svms', 'classification clusters', 'machines svms', 'svms imbalanced', 'training svms', 'imbalanced support vector']"
"['web search interfaces', 'web search resources', 'web search', 'query language web', 'web query languages', 'querying web resources', 'query languages web', 'querying web', 'acquiring query languages', 'query language acquisition']"
"['object clustering', 'dissimilarity measure clusters', 'text mining dissimilarity', 'similar traditional clustering', 'cluster dependent keywords', 'representation data clusters', 'document clustering', 'cluster dissimilarity', 'relative cluster dissimilarity', 'feature weighting clustering']"
"['semi supervised kernel', 'semi supervised kernels', 'classification unified kernel', 'unified kernel logistic', 'supervised kernel machine', 'supervised learning kernel', 'supervised kernels labeled', 'unified kernel machines', 'supervised kernel', 'supervised kernels implemented']"
"['computer graphics architecture', '3d graphics hardware', '3d graphics accelerator', '3d graphics architectures', 'performance 3d graphics', 'graphics architecture', 'microprocessor specialized graphics', 'architecture computer graphics', 'graphics hardware architecture', '3d computer graphics']"
"['indexing broadcast data', 'index data broadcast', 'indexing broadcast', 'wireless data dissemination', 'data location broadcast', 'broadcast index', 'data dissemination', 'related indexing broadcast', 'based indexing scheme', 'discusses indexing scheme']"
"['online bayesian bagging', 'bayesian online bagging', 'smaller bayesian bagging', 'batch bayesian bagging', 'bagging bayesian bagging', 'bayesian batch bagging', 'models bagged prediction', 'bagged prediction', 'lossless online bayesian', 'bayesian bagging']"
"['web table detection', 'table detection web', 'table understanding web', 'based table detection', 'tables web documents', 'tables table detection', 'genuine tables web', 'web documents tables', 'web document table', 'table detection feature']"
"['illumination techniques hashing', 'rendering photon mapping', 'tracing photon mapping', 'accelerated rendering photon', 'based photon mapping', 'shaders photon mapping', 'latency photon mapping', 'photon mapping application', 'photon block hash', 'photon blocks hash']"
"['greedy oblivious schedulers', 'information oblivious scheduler', 'oblivious scheduler propose', 'oblivious schedulers', 'oblivious scheduler assigns', 'guarantee oblivious scheduler', 'oblivious schedulers known', 'oblivious scheduler perform', 'oblivious scheduler exploits', 'oblivious scheduler uses']"
