"['grid service discovery', 'service discovery grids', 'discovery grid services', 'grid discovery services', 'scalable grid service', 'services grids', 'specialized grid service', 'grid services', 'grid service providers', 'grid service']"
"['deployment sensor networks', 'sensor deployment strategy', 'detection sensor network', 'sensor deployment', 'detection sensor networks', 'sensor network target', 'traffic traversal sensors', 'sensor network', 'sensor networks', 'sensors deployment']"
"['voip audio conferencing', 'distributed voip conferencing', 'voice virtual conferencing', 'building voip conferencing', 'distributed voip', 'voip conferencing', 'building voip application', 'audio conferencing need', 'challenges voip conferencing', 'centralized sip conferencing']"
"['swarm worm details', 'malware exhibiting swarm', 'performance swarm worm', 'worm swarm worm', 'swarm worm', 'worm swarms', 'cracking swarm worm', 'worm instance swarm', 'considered swarm worm', 'simple swarm worm']"
"['modular protocols based', 'modular protocols', 'modular network protocols', 'protocols protocol modules', 'protocol modules frameworks', 'protocol composition frameworks', 'implemented protocol frameworks', 'implementation protocol modules', 'protocol framework', 'composing protocols']"
"['availability data center', 'outages data centers', 'data availability', 'outages data center', 'service availability', 'providing service availability', 'high availability services', 'availability services', 'continuous availability', 'operation availability services']"
"['metrics mobile object', 'runtimes mobile objects', 'distributed mobile applications', 'mobile application adaptation', 'mobile object frameworks', 'metrics collection middleware', 'middleware components metrics', 'management mobile objects', 'metrics components mobility', 'mobile object systems']"
"['download data allocation', 'servers allocation scheme', 'replicas data grid', 'data grid allocation', 'downloads data parallel', 'parallel downloading datasets', 'data transport replica', 'parallel downloading', 'parallel data transfers', 'distributed storage resources']"
"['localizing sensor network', 'localization sensor network', 'localization wireless sensor', 'localization wireless', 'network localization', 'accuracy localization spotlight', 'cost localization wireless', 'cost accurate localization', 'localizing sensor', 'localization sensor']"
"['throughput blast grid', 'sequence comparison blast', 'blast searches grids', 'grid implementation blast', 'blast searches grid', 'nodes blast search', 'blast searches sequence', 'algorithm blast', 'grid blast toolkit', 'biological sequence compared']"
"['molecular conformational search', 'molecular conformation search', 'conformational search program', 'conformation search improvement', 'molecular mechanics grid', 'performance conflex grid', 'conformationalspacesearch basic strategy', 'conformation space search', 'large molecules grid', 'conflex computational nodes']"
"['adaptive computing grid', 'adaptive applications grid', 'adaptive execution grids', 'grid computing resource', 'utilize grid resources', 'applications grid resources', 'available grid resources', 'grid application applications', 'performance availability grid', 'grid programming scalable']"
"['scalable reliable multicast', 'multicast data dissemination', 'multicast scalable', 'approach streaming multicast', 'peer streaming nodes', 'reliable multicasting overlay', 'stream dissemination', 'multicast tree', 'tree internet streaming', 'streaming nodes']"
"['distributed documents', 'documents shared', 'sharing documents', 'documents distributed', 'file sharing', 'distributed peer', 'share documents', 'new documents distributed', 'documents intranet', 'peer discovery apocrita']"
"['caching systems peer', 'caching protocols', 'storage buddycache peer', 'peer caching', 'scalable internet caches', 'caching protocol', 'efficient cooperative caching', 'regular peer cache', 'scalable web caching', 'peer cache']"
"['context information negotiation', 'distributed context providers', 'distributed context', 'context aware computing', 'negotiation context providers', 'context aware applications', 'possible context providers', 'context providers utility', 'reward context providers', 'context manager negotiate']"
"['key establishment distributedsensor', 'distributed keys', 'attacks sensor network', 'secure key distribution', 'attack sensor network', 'key establishment scheme', 'pairwise key establishment', 'clusters sensor network', 'key establishment nodes', 'keys distributed']"
"['security event brokers', 'encrypted events broker', 'encrypted event broker', 'clients event encryption', 'event encryption', 'secure event types', 'subscribe infrastructures securecomm', 'secure event', 'eventbrokers different security', 'publish subscribe infrastructures']"
"['peer overlay streaming', 'peer peer streaming', 'peer streaming', 'streaming content peer', 'bandwidth peers approach', 'peerto peer streaming', 'bandwidth peer minimizing', 'peer topeer streaming', 'peer receiver peer', 'bandwidth peer']"
"['packet loss speech', 'tradeoff packet loss', 'loss packets', 'packets sensitive loss', 'packet losses', 'packets voice', 'packet loss impact', 'impact packet loss', 'lost speech packets', 'packets loss']"
"['worlds grid computing', 'dynamic virtual environments', 'complex virtual environments', 'online worlds grid', 'indexing virtual space', '3d virtual environments', 'virtual worlds', 'division virtual worlds', 'virtual environments', 'new virtual environments']"
"['adaptive resourcemanagement middleware', 'adaptive resource management', 'hybrid adaptive resourcemanagement', 'management adaptive resource', 'adaptive resourcemanagement', 'adaptive resource provisioning', 'adaptive middleware capabilities', 'hybrid adaptive resource', 'systems adaptive middleware', 'adaptive middleware support']"
"['assimilation reservoir modeling', 'assimilation methodology reservoir', 'ensemble reservoir models', 'computing reservoir modeling', 'geological model ensemble', 'methodology reservoir characterization', 'simulations reservoir modeling', 'reservoir models method', 'reservoir simulator assimilate', 'ensemble geological models']"
"['location sensor nodes', 'locations wireless sensor', 'sensor node localization', 'localize sensor nodes', 'location sensor node', 'localization wireless sensor', 'localization sensor networks', 'localization accuracy nodes', 'mapped locations sensors', 'final location sensor']"
"['sensor network localization', 'localizing sensor network', 'sensor nodes localization', 'localization sensor networks', 'sensor node localization', 'network localization', 'localizing sensor', 'localization wireless sensor', 'passive localization wireless', 'locations sensor nodes']"
"['sensors archive data', 'archived sensor data', 'sensor storage architecture', 'sensor storage approach', 'constructing sensor storage', 'sensor store data', 'indexing sensor networks', 'storage sensor data', 'sensor storage', 'tier sensor storage']"
"['large range queries', 'multidimensional range queries', 'queries sensor networks', 'efficient queries sensor', 'indices sensor network', 'dimensional range queries', 'distributed indexing', 'supports range queries', 'distributed index', 'distributed index features']"
"['opportunistic network routing', 'protocols opportunistic networks', 'opportunistic networks routing', 'opportunistic routing', 'routing protocol epidemic', 'protocol opportunistic networks', 'opportunistic networks communication', 'opportunistic networking promising', 'mobile opportunistic network', 'opportunistic networking']"
"['search rescue systems', 'sensor network need', 'sensor network applications', 'sensor network', 'rescue systems', 'wireless sensor network', 'search rescue applications', 'network sensors', 'tracking search rescue', 'search rescue application']"
"['fairness dead reckoning', 'fairness distributed game', 'comparison dead reckoning', 'reckoning vectors sender', 'accuracy dead reckoning', 'dead reckoning', 'players network delay', 'achieves fairness receivers', 'fairness distributed', 'fairness different players']"
"['consistency multiplayer online', 'global synchronization', 'synchronized dead reckoning', 'consistency multiplayer', 'continuous distributed multiplayer', 'local lag maintain', 'help global synchronization', 'distributed multiplayer games', 'eliminate inconsistency synchronization', 'synchronization']"
"['large online data', 'spatial data internet', 'spatial online databases', 'large spatial databases', 'spatial database server', 'peer storage utility', 'online data prolonged', 'spatial data archives', 'accessible spatial database', 'online spatial data']"
"['groups ubiquitous computing', 'context aware mobile', 'interaction mobile group', 'context awareness group', 'mobile ubiquitous environments', 'context aware applications', 'location sensing group', 'context aware application', 'interaction location sensing', 'aware group interaction']"
"['distributed execution grid', 'management grid computing', 'grid computing architecture', 'middleware grid computing', 'enact processes grid', 'work grid computing', 'distributed process execution', 'grid centralized coordination', 'grid architecture infrastructure', 'designed grid computing']"
"['weighted congestion games', 'failures congestion games', 'congestion games resource', 'model congestion games', 'generalization congestion games', 'corresponding congestion game', 'theorem congestion games', 'congestion games model', 'resource failures congestion', 'congestion games load']"
